id,u_id,name,position,active,age,handedness,catches,contract_end,cap_hit,signed_nhl,date_birth,drafted,height,weight,nhl_rights_id,nationality_id,place_birth_id,id,player_id,regular_season,season_id,league_id,team_id,captaincy,gp,gd,gaa,svp,ga,svs,so,w,l,t,toi,id,nationality,id,season
98,159247,John Roach,G,0,,,L,,,0,1900-06-23,0,168,64,,3,67,381,98,0,40,7,144,,,,,,,,,,,,,3,Canada,40,1925-1926
98,159247,John Roach,G,0,,,L,,,0,1900-06-23,0,168,64,,3,67,382,98,1,40,7,144,,36,,3.07,,114,,2,12,21,3,2230,3,Canada,40,1925-1926
98,159247,John Roach,G,0,,,L,,,0,1900-06-23,0,168,64,,3,67,383,98,0,41,7,144,,,,,,,,,,,,,3,Canada,41,1926-1927
98,159247,John Roach,G,0,,,L,,,0,1900-06-23,0,168,64,,3,67,384,98,1,41,7,144,,44,,2.04,,94,,4,15,24,5,2764,3,Canada,41,1926-1927
98,159247,John Roach,G,0,,,L,,,0,1900-06-23,0,168,64,,3,67,385,98,0,42,7,144,,,,,,,,,,,,,3,Canada,42,1927-1928
98,159247,John Roach,G,0,,,L,,,0,1900-06-23,0,168,64,,3,67,386,98,1,42,7,144,,43,,1.96,,88,,4,18,18,7,2690,3,Canada,42,1927-1928
98,159247,John Roach,G,0,,,L,,,0,1900-06-23,0,168,64,,3,67,387,98,0,43,7,449,,6,,0.77,,5,,3,3,2,0,392,3,Canada,43,1928-1929
98,159247,John Roach,G,0,,,L,,,0,1900-06-23,0,168,64,,3,67,388,98,1,43,7,449,,44,,1.41,,65,,13,21,13,10,2760,3,Canada,43,1928-1929
98,159247,John Roach,G,0,,,L,,,0,1900-06-23,0,168,64,,3,67,389,98,0,44,7,449,,4,,1.36,,7,,0,1,2,0,308,3,Canada,44,1929-1930
98,159247,John Roach,G,0,,,L,,,0,1900-06-23,0,168,64,,3,67,390,98,1,44,7,449,,44,,3.1,,143,,1,17,17,10,2770,3,Canada,44,1929-1930
98,159247,John Roach,G,0,,,L,,,0,1900-06-23,0,168,64,,3,67,391,98,0,45,7,449,,4,,1,,4,,1,2,2,0,240,3,Canada,45,1930-1931
98,159247,John Roach,G,0,,,L,,,0,1900-06-23,0,168,64,,3,67,392,98,1,45,7,449,,44,,1.89,,87,,7,19,16,9,2760,3,Canada,45,1930-1931
98,159247,John Roach,G,0,,,L,,,0,1900-06-23,0,168,64,,3,67,393,98,0,46,7,449,,7,,3.38,,27,,1,3,4,0,480,3,Canada,46,1931-1932
98,159247,John Roach,G,0,,,L,,,0,1900-06-23,0,168,64,,3,67,394,98,1,46,7,449,,48,,2.23,,112,,9,23,17,8,3010,3,Canada,46,1931-1932
98,159247,John Roach,G,0,,,L,,,0,1900-06-23,0,168,64,,3,67,397,98,0,47,7,87,,4,,2,,8,,1,2,2,0,240,3,Canada,47,1932-1933
98,159247,John Roach,G,0,,,L,,,0,1900-06-23,0,168,64,,3,67,398,98,1,47,7,87,,48,,1.88,,93,,10,25,15,8,2970,3,Canada,47,1932-1933
98,159247,John Roach,G,0,,,L,,,0,1900-06-23,0,168,64,,3,67,399,98,0,48,7,87,,,,,,,,,,,,,3,Canada,48,1933-1934
98,159247,John Roach,G,0,,,L,,,0,1900-06-23,0,168,64,,3,67,400,98,1,48,7,87,,19,,2.62,,45,,1,9,8,1,1030,3,Canada,48,1933-1934
98,159247,John Roach,G,0,,,L,,,0,1900-06-23,0,168,64,,3,67,403,98,0,49,7,87,,,,,,,,,,,,,3,Canada,49,1934-1935
98,159247,John Roach,G,0,,,L,,,0,1900-06-23,0,168,64,,3,67,404,98,1,49,7,87,,23,,2.55,,62,,4,7,11,5,1460,3,Canada,49,1934-1935
154,210924,Alec Connell,G,0,,,L,,,0,1902-02-08,0,175,68,,3,16,423,154,0,39,7,57,,,,,,,,,,,,,3,Canada,39,1924-1925
154,210924,Alec Connell,G,0,,,L,,,0,1902-02-08,0,175,68,,3,16,424,154,1,39,7,57,,30,,2.14,,66,,7,17,12,1,1852,3,Canada,39,1924-1925
154,210924,Alec Connell,G,0,,,L,,,0,1902-02-08,0,175,68,,3,16,425,154,0,40,7,57,,2,,1,,2,,0,0,1,0,120,3,Canada,40,1925-1926
154,210924,Alec Connell,G,0,,,L,,,0,1902-02-08,0,175,68,,3,16,426,154,1,40,7,57,,36,,1.12,,42,,15,24,8,4,2251,3,Canada,40,1925-1926
154,210924,Alec Connell,G,0,,,L,,,0,1902-02-08,0,175,68,,3,16,427,154,0,41,7,57,,6,,0.6,,4,,2,3,0,0,400,3,Canada,41,1926-1927
154,210924,Alec Connell,G,0,,,L,,,0,1902-02-08,0,175,68,,3,16,428,154,1,41,7,57,,44,,1.49,,69,,13,30,10,4,2787,3,Canada,41,1926-1927
154,210924,Alec Connell,G,0,,,L,,,0,1902-02-08,0,175,68,,3,16,429,154,0,42,7,57,,2,,1.5,,3,,0,0,2,0,120,3,Canada,42,1927-1928
154,210924,Alec Connell,G,0,,,L,,,0,1902-02-08,0,175,68,,3,16,430,154,1,42,7,57,,44,,1.24,,57,,15,20,14,10,2760,3,Canada,42,1927-1928
154,210924,Alec Connell,G,0,,,L,,,0,1902-02-08,0,175,68,,3,16,431,154,0,43,7,57,,,,,,,,,,,,,3,Canada,43,1928-1929
154,210924,Alec Connell,G,0,,,L,,,0,1902-02-08,0,175,68,,3,16,432,154,1,43,7,57,,44,,1.43,,67,,7,14,17,13,2820,3,Canada,43,1928-1929
154,210924,Alec Connell,G,0,,,L,,,0,1902-02-08,0,175,68,,3,16,433,154,0,44,7,57,,2,,3,,6,,0,0,1,0,120,3,Canada,44,1929-1930
154,210924,Alec Connell,G,0,,,L,,,0,1902-02-08,0,175,68,,3,16,434,154,1,44,7,57,,44,,2.55,,118,,3,21,15,8,2780,3,Canada,44,1929-1930
154,210924,Alec Connell,G,0,,,L,,,0,1902-02-08,0,175,68,,3,16,435,154,0,45,7,57,,,,,,,,,,,,,3,Canada,45,1930-1931
154,210924,Alec Connell,G,0,,,L,,,0,1902-02-08,0,175,68,,3,16,436,154,1,45,7,57,,36,,3.01,,110,,3,10,22,4,2190,3,Canada,45,1930-1931
154,210924,Alec Connell,G,0,,,L,,,0,1902-02-08,0,175,68,,3,16,437,154,0,46,7,87,,2,,1.5,,3,,0,0,1,0,120,3,Canada,46,1931-1932
154,210924,Alec Connell,G,0,,,L,,,0,1902-02-08,0,175,68,,3,16,438,154,1,46,7,87,,48,,2.13,,108,,6,18,20,10,3040,3,Canada,46,1931-1932
154,210924,Alec Connell,G,0,,,L,,,0,1902-02-08,0,175,68,,3,16,439,154,0,47,7,57,,,,,,,,,,,,,3,Canada,47,1932-1933
154,210924,Alec Connell,G,0,,,L,,,0,1902-02-08,0,175,68,,3,16,440,154,1,47,7,57,,15,,2.58,,42,,1,4,8,3,977,3,Canada,47,1932-1933
